vgs ,/V6/PLUS (A)
10.00E-3,91.32E-12
10.23E-3,91.20E-12
10.47E-3,91.07E-12
10.71E-3,90.94E-12
10.95E-3,90.81E-12
11.21E-3,90.68E-12
11.47E-3,90.54E-12
11.73E-3,90.40E-12
12.00E-3,90.26E-12
12.28E-3,90.11E-12
12.56E-3,89.96E-12
12.85E-3,89.81E-12
13.15E-3,89.66E-12
13.45E-3,89.50E-12
13.76E-3,89.33E-12
14.08E-3,89.17E-12
14.40E-3,89.00E-12
14.73E-3,88.82E-12
15.07E-3,88.65E-12
15.42E-3,88.47E-12
15.78E-3,88.28E-12
16.14E-3,88.09E-12
16.51E-3,87.90E-12
16.89E-3,87.70E-12
17.28E-3,87.50E-12
17.68E-3,87.30E-12
18.09E-3,87.09E-12
18.51E-3,86.88E-12
18.93E-3,86.66E-12
19.37E-3,86.43E-12
19.82E-3,86.21E-12
20.27E-3,85.97E-12
20.74E-3,85.74E-12
21.22E-3,85.49E-12
21.71E-3,85.25E-12
22.21E-3,84.99E-12
22.72E-3,84.74E-12
23.25E-3,84.47E-12
23.78E-3,84.20E-12
24.33E-3,83.93E-12
24.89E-3,83.65E-12
25.46E-3,83.36E-12
26.05E-3,83.07E-12
26.65E-3,82.77E-12
27.27E-3,82.46E-12
27.90E-3,82.15E-12
28.54E-3,81.83E-12
29.20E-3,81.51E-12
29.87E-3,81.17E-12
30.56E-3,80.83E-12
31.26E-3,80.48E-12
31.99E-3,80.13E-12
32.72E-3,79.76E-12
33.48E-3,79.39E-12
34.25E-3,79.01E-12
35.04E-3,78.62E-12
35.85E-3,78.23E-12
36.67E-3,77.82E-12
37.52E-3,77.40E-12
38.38E-3,76.98E-12
39.27E-3,76.55E-12
40.18E-3,76.10E-12
41.10E-3,75.65E-12
42.05E-3,75.19E-12
43.02E-3,74.71E-12
44.01E-3,74.23E-12
45.03E-3,73.74E-12
46.06E-3,73.23E-12
47.13E-3,72.72E-12
48.21E-3,72.19E-12
49.33E-3,71.66E-12
50.46E-3,71.11E-12
51.63E-3,70.55E-12
52.82E-3,69.98E-12
54.03E-3,69.40E-12
55.28E-3,68.80E-12
56.56E-3,68.20E-12
57.86E-3,67.58E-12
59.19E-3,66.94E-12
60.56E-3,66.30E-12
61.96E-3,65.64E-12
63.38E-3,64.97E-12
64.85E-3,64.28E-12
66.34E-3,63.58E-12
67.87E-3,62.87E-12
69.44E-3,62.14E-12
71.04E-3,61.39E-12
72.68E-3,60.63E-12
74.35E-3,59.86E-12
76.07E-3,59.07E-12
77.82E-3,58.26E-12
79.61E-3,57.44E-12
81.45E-3,56.61E-12
83.33E-3,55.75E-12
85.25E-3,54.88E-12
87.22E-3,53.99E-12
89.23E-3,53.08E-12
91.28E-3,52.16E-12
93.39E-3,51.21E-12
95.54E-3,50.25E-12
97.75E-3,49.27E-12
100.0E-3,48.27E-12
102.3E-3,47.25E-12
104.7E-3,46.21E-12
107.1E-3,45.15E-12
109.5E-3,44.07E-12
112.1E-3,42.96E-12
114.7E-3,41.84E-12
117.3E-3,40.69E-12
