vgs ,/vds2 (V)
10.00E-3,8.439
10.23E-3,8.443
10.47E-3,8.447
10.71E-3,8.451
10.95E-3,8.454
11.21E-3,8.458
11.47E-3,8.462
11.73E-3,8.466
12.00E-3,8.470
12.28E-3,8.474
12.56E-3,8.479
12.85E-3,8.483
13.15E-3,8.487
13.45E-3,8.492
13.76E-3,8.496
14.08E-3,8.501
14.40E-3,8.505
14.73E-3,8.510
15.07E-3,8.515
15.42E-3,8.520
15.78E-3,8.525
16.14E-3,8.530
16.51E-3,8.535
16.89E-3,8.540
17.28E-3,8.545
17.68E-3,8.550
18.09E-3,8.555
18.51E-3,8.561
18.93E-3,8.566
19.37E-3,8.572
19.82E-3,8.577
20.27E-3,8.583
20.74E-3,8.588
21.22E-3,8.594
21.71E-3,8.600
22.21E-3,8.606
22.72E-3,8.612
23.25E-3,8.618
23.78E-3,8.624
24.33E-3,8.630
24.89E-3,8.636
25.46E-3,8.642
26.05E-3,8.648
26.65E-3,8.654
27.27E-3,8.661
27.90E-3,8.667
28.54E-3,8.673
29.20E-3,8.680
29.87E-3,8.686
30.56E-3,8.692
31.26E-3,8.699
31.99E-3,8.705
32.72E-3,8.712
33.48E-3,8.718
34.25E-3,8.725
35.04E-3,8.732
35.85E-3,8.738
36.67E-3,8.745
37.52E-3,8.751
38.38E-3,8.758
39.27E-3,8.764
40.18E-3,8.771
41.10E-3,8.777
42.05E-3,8.784
43.02E-3,8.790
44.01E-3,8.797
45.03E-3,8.803
46.06E-3,8.809
47.13E-3,8.816
48.21E-3,8.822
49.33E-3,8.828
50.46E-3,8.834
51.63E-3,8.840
52.82E-3,8.846
54.03E-3,8.852
55.28E-3,8.858
56.56E-3,8.864
57.86E-3,8.869
59.19E-3,8.875
60.56E-3,8.881
61.96E-3,8.886
63.38E-3,8.891
64.85E-3,8.896
66.34E-3,8.901
67.87E-3,8.906
69.44E-3,8.911
71.04E-3,8.916
72.68E-3,8.920
74.35E-3,8.924
76.07E-3,8.929
77.82E-3,8.933
79.61E-3,8.937
81.45E-3,8.940
83.33E-3,8.944
85.25E-3,8.948
87.22E-3,8.951
89.23E-3,8.953
91.28E-3,8.955
93.39E-3,8.957
95.54E-3,8.959
97.75E-3,8.960
100.0E-3,8.961
102.3E-3,8.962
104.7E-3,8.963
107.1E-3,8.963
109.5E-3,8.963
112.1E-3,8.964
114.7E-3,8.963
117.3E-3,8.963
120.0E-3,8.962
122.8E-3,8.962
125.6E-3,8.961
128.5E-3,8.959
131.5E-3,8.958
134.5E-3,8.956
137.6E-3,8.954
140.8E-3,8.952
144.0E-3,8.949
147.3E-3,8.947
150.7E-3,8.944
154.2E-3,8.941
157.8E-3,8.937
161.4E-3,8.934
165.1E-3,8.930
168.9E-3,8.925
172.8E-3,8.921
176.8E-3,8.916
180.9E-3,8.911
185.1E-3,8.906
189.3E-3,8.901
193.7E-3,8.895
198.2E-3,8.889
202.7E-3,8.883
207.4E-3,8.876
212.2E-3,8.870
217.1E-3,8.863
222.1E-3,8.856
227.2E-3,8.849
232.5E-3,8.842
237.8E-3,8.834
243.3E-3,8.827
248.9E-3,8.820
254.6E-3,8.813
260.5E-3,8.806
266.5E-3,8.799
272.7E-3,8.793
279.0E-3,8.787
285.4E-3,8.781
292.0E-3,8.775
298.7E-3,8.770
305.6E-3,8.765
312.6E-3,8.760
319.9E-3,8.755
327.2E-3,8.749
334.8E-3,8.742
342.5E-3,8.732
350.4E-3,8.721
358.5E-3,8.705
366.7E-3,8.686
375.2E-3,8.660
383.8E-3,8.629
392.7E-3,8.589
401.8E-3,8.541
411.0E-3,8.484
420.5E-3,8.418
430.2E-3,8.341
440.1E-3,8.253
450.3E-3,8.156
460.6E-3,8.048
471.3E-3,7.931
482.1E-3,7.805
493.3E-3,7.672
504.6E-3,7.531
516.3E-3,7.384
528.2E-3,7.232
540.3E-3,7.075
552.8E-3,6.915
565.6E-3,6.751
578.6E-3,6.585
591.9E-3,6.417
605.6E-3,6.248
619.6E-3,6.077
633.8E-3,5.905
648.5E-3,5.732
663.4E-3,5.558
678.7E-3,5.383
694.4E-3,5.208
710.4E-3,5.033
726.8E-3,4.857
743.5E-3,4.681
760.7E-3,4.505
778.2E-3,4.329
796.1E-3,4.153
814.5E-3,3.978
833.3E-3,3.803
852.5E-3,3.629
872.2E-3,3.457
892.3E-3,3.285
912.8E-3,3.115
933.9E-3,2.947
955.4E-3,2.780
977.5E-3,2.616
1.000,2.454
1.023,2.295
1.047,2.139
1.071,1.986
1.095,1.838
1.121,1.693
1.147,1.554
1.173,1.419
1.200,1.291
1.228,1.170
1.256,1.055
1.285,948.5E-3
1.315,849.7E-3
1.345,759.1E-3
1.376,676.6E-3
1.408,602.1E-3
1.440,535.1E-3
1.473,475.2E-3
1.507,421.7E-3
1.542,373.9E-3
1.578,331.3E-3
1.614,293.0E-3
1.651,258.8E-3
1.689,228.0E-3
1.728,200.2E-3
1.768,175.2E-3
1.800,157.3E-3
